id,screen_id,name,format,placement,installation,owner_id,owner,city,address,lat,lon,width_mm,height_mm,width_px,height_px,phys_width_px,phys_height_px,sspProvider,sspTypes,minBid,ots,grp,meta_format,estimated_ots,interpolated_ots,ssp_ots,image_url,image_preview
44553,REV-07-A,"REV-07-А (Ревда, Цветников, 39а - Мира (ТРЦ Квартал)) Сахар-Медиа",BILLBOARD,OUTDOOR,STATIC,13,РИМ,Ревда,"Ревда, Цветников, 39а - Мира (ТРЦ Квартал)",56.79728791,59.915814,6000,3000,720,360,720,360,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",0.99,0,11,BILLBOARD,,,8,https://play.ru.cityscreen.cloud/files/organizations/223/common/ul_Tsvietnikov_39a_Mira_TRTs_Kvartal_storona_A_7w6o1f.jpg,https://play.ru.cityscreen.cloud/files/organizations/223/common/ul_Tsvietnikov_39a_Mira_TRTs_Kvartal_storona_A_7w6o1f.thumbnail.jpg
44551,EK-43-A,"EK-43-А(Екатеринбург,Московская, 281-Волгоградская) Сахар-Медиа",BILLBOARD,OUTDOOR,STATIC,13,РИМ,Екатеринбург,"Екатеринбург,Московская, 281-Волгоградская",56.79896,60.596271,6000,3000,592,304,592,304,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",2.2,35.31682714,2,BILLBOARD,35.31682714,,33,https://play.ru.cityscreen.cloud/files/organizations/223/common/ul_Moskovskaia_281_ul_Volghoghradskaia_storona_A_5m1y1b.jpg,https://play.ru.cityscreen.cloud/files/organizations/223/common/ul_Moskovskaia_281_ul_Volghoghradskaia_storona_A_5m1y1b.thumbnail.jpg
44542,M1_E2,"г. Майкоп, ул. Чкалова 63",BILLBOARD,OUTDOOR,STATIC,303,РА MAYKOP DIGITAL,Майкоп,"г. Майкоп, ул. Чкалова 63",44.610096,40.062442,6000,3000,720,360,720,360,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",9.1,0,,BILLBOARD,,,,https://global.cityscreen.cloud/files/organizations/338/common/Ekran_Chkalova_5g2m0d.jpg,https://global.cityscreen.cloud/files/organizations/338/common/Ekran_Chkalova_5g2m0d.thumbnail.jpg
44541,M1_E1,"г. Майкоп, ул. Степная 160, ТЦ Майкоп Молл",BILLBOARD,OUTDOOR,STATIC,303,РА MAYKOP DIGITAL,Майкоп,"г. Майкоп, ул. Степная 160",44.609796,40.04338,6000,3000,720,360,720,360,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",9.1,0,,BILLBOARD,,,,https://global.cityscreen.cloud/files/organizations/338/common/Ekran_Stiepnaia_4g5n1j.jpg,https://global.cityscreen.cloud/files/organizations/338/common/Ekran_Stiepnaia_4g5n1j.thumbnail.jpg
44216,SRK_001_A,Мира 1а/1,BILLBOARD,OUTDOOR,STATIC,299,Сахалинская рекламная компания,Южно-Сахалинск,"г. Южно-Сахалинск, пр. Мира 1а/1 сторона А",47.0085247,142.7360748,6000,3000,720,360,1440,360,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",1.053,0,,BILLBOARD,,,,https://play.ru.cityscreen.cloud/files/organizations/333/common/image_23_08_24_05_41_1_8v4v1g.jpeg,https://play.ru.cityscreen.cloud/files/organizations/333/common/image_23_08_24_05_41_1_8v4v1g.thumbnail.jpg
44215,SRK_001_B,Мира 1а/1,BILLBOARD,OUTDOOR,STATIC,299,Сахалинская рекламная компания,Южно-Сахалинск,"г. Южно-Сахалинск, пр. Мира 1а/1 сторона А",47.0085247,142.7360748,6000,3000,720,360,1440,360,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",1.053,0,,BILLBOARD,,,,https://play.ru.cityscreen.cloud/files/organizations/333/common/image_23_08_24_05_41_4l5t8e.jpeg,https://play.ru.cityscreen.cloud/files/organizations/333/common/image_23_08_24_05_41_4l5t8e.thumbnail.jpg
44214,Tv15_2B,"Tv15.2, Вильгельма Де Геннина - Объездная 2*720x360",BILLBOARD,OUTDOOR,STATIC,10,Хэт-Трик,Екатеринбург,Вильгельма де Геннина - Объездная (в Центр),56.803445,60.538655,5980,3120,720,360,2560,360,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",1.265,35.95616098,3,BILLBOARD,35.95616098,,40,https://play.ru.cityscreen.cloud/files/organizations/105/common/pic3160_6z4z1w.jpg,https://play.ru.cityscreen.cloud/files/organizations/105/common/pic3160_6z4z1w.thumbnail.jpg
44211,MSBB30023A1,MSBB30023A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Балаклавский проспект  44 напротив, 180 м до Х с ул. Керченская",55.64716687,37.5734577,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.68,52.68105001,0.52,BILLBOARD,20.49839899,52.68105001,53,https://images.russoutdoor.ru/panelFotos/257/2566492.jpg,https://images.russoutdoor.ru/panelFotos/257/2566492.jpg
44188,14-1,"14_Герцена, 96 (ТЦ Галерея Вояж)",CITY_BOARD,OUTDOOR,STATIC,39,Деловой Мир,Тюмень,"Герцена, 96 (ТЦ Галерея Вояж)",57.14713934,65.54274097,3840,2880,640,480,1280,480,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",1.235,29.66723555,,CITY_BOARD,29.66723555,,,https://play.ru.cityscreen.cloud/files/organizations/185/common/A_Giertsiena_96_TTs_Galierieia_Voiazh_2__4v4e0u.JPG,https://play.ru.cityscreen.cloud/files/organizations/185/common/A_Giertsiena_96_TTs_Galierieia_Voiazh_2__4v4e0u.thumbnail.jpg
44185,30-2,"30_Республики, 145 (Gazoil-Plaza)",CITY_BOARD,OUTDOOR,STATIC,39,Деловой Мир,Тюмень,"Республики, 145 (Gazoil-Plaza)",57.13949461,65.56689218,3840,2880,640,480,1280,480,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",1.235,29.66723555,,CITY_BOARD,29.66723555,,,https://play.ru.cityscreen.cloud/files/organizations/185/common/A_Riespubliki_145_Gazoil_plaza_2__8r3e2q.JPG,https://play.ru.cityscreen.cloud/files/organizations/185/common/A_Riespubliki_145_Gazoil_plaza_2__8r3e2q.thumbnail.jpg
